m_datapoints,n_features,mode,driver_cores,driver_memory,executor_instances,executor_cores,executor_memory,default_parallelism,shuffle_partitions,master,r2,rmse,mae,explainedVariance,t_fit_ms,elapsed_ms,executorRun_ms,cpu_ms,gc_ms,wall_overhead_ms,nonCPU_overhead_ms,parallel_overhead_ms,wall_overhead_pct,nonCPU_overhead_pct,parallel_overhead_pct,bytes_read,bytes_written,shuffle_read,shuffle_write,spilled,theoretical_size_bytes
500000,10,local,0,8g,0,0,0,12,12,local[4],0.9999741860063708,0.09986761347432369,0.07962336962592563,386.35179458856095,630.0,574.0,1191.0,722.0,26.0,332.25,469.0,801.25,0.5273809523809524,0.39378673383711166,1.2718253968253967,154204936.0,0.0,0.0,0.0,0.0,44000000
1000000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740862794602,0.0998959473157178,0.07967210890859176,385.0833258984556,750.0,707.0,1861.0,1279.0,47.0,284.75,582.0,866.75,0.37966666666666665,0.31273508866200966,1.1556666666666666,308401504.0,0.0,0.0,0.0,0.0,88000000
1500000,10,local,0,8g,0,0,0,12,12,local[4],0.9999741000184527,0.09994004946342692,0.07972628121265996,385.6278730976094,940.0,894.0,2608.0,2072.0,80.0,288.0,536.0,824.0,0.30638297872340425,0.20552147239263804,0.8765957446808511,462598216.0,0.0,0.0,0.0,0.0,132000000
2000000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740849152992,0.09993482844378869,0.07974053791555218,385.3628586673217,930.0,889.0,2697.0,2291.0,160.0,255.75,406.0,661.75,0.275,0.15053763440860216,0.7115591397849462,616795232.0,0.0,0.0,0.0,0.0,176000000
2500000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740672136369,0.09990907084886216,0.07972298489004785,384.9013153340992,970.0,915.0,3003.0,2818.0,114.0,219.25,185.0,404.25,0.22603092783505155,0.06160506160506161,0.41675257731958765,770991816.0,0.0,0.0,0.0,0.0,220000000
3000000,10,local,0,8g,0,0,0,12,12,local[4],0.999974068009308,0.09992310625261162,0.07974475609849954,385.0212797199885,1420.0,1388.0,4591.0,4157.0,52.0,272.25,434.0,706.25,0.19172535211267605,0.09453278152907864,0.49735915492957744,925190608.0,0.0,0.0,0.0,0.0,264000000
3500000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740448504805,0.09994895196852692,0.07976369589977379,384.8767546313399,1480.0,1445.0,4809.0,4166.0,361.0,277.75,643.0,920.75,0.18766891891891893,0.1337076315242254,0.6221283783783784,1079392168.0,0.0,0.0,0.0,0.0,308000000
4000000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740541515101,0.09993774630849962,0.07975224075662057,384.92840215045766,1510.0,1473.0,4927.0,4343.0,384.0,278.25,584.0,862.25,0.18427152317880793,0.11853054597117922,0.5710264900662252,1233589032.0,0.0,0.0,0.0,0.0,352000000
4500000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740538810861,0.09994682091482528,0.07975382132648177,384.99429756036284,1670.0,1633.0,5736.0,4924.0,543.0,236.0,812.0,1048.0,0.14131736526946106,0.14156206415620642,0.6275449101796408,1387785800.0,0.0,0.0,0.0,0.0,396000000
5000000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740432793528,0.09994714633168413,0.07975747233034236,384.8395528348974,2040.0,2004.0,7173.0,5318.0,1351.0,246.75,1855.0,2101.75,0.12095588235294118,0.2586086714066639,1.0302696078431373,1541982336.0,0.0,0.0,0.0,0.0,440000000
5500000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740373873297,0.09994297922428495,0.07975433782808768,384.72013171132386,2230.0,2194.0,8055.0,5732.0,1737.0,216.25,2323.0,2539.25,0.09697309417040359,0.28839230291744256,1.138677130044843,1696178904.0,0.0,0.0,0.0,0.0,484000000
6000000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740306247719,0.09994792619383763,0.07975616224225078,384.658022741254,2590.0,2558.0,9367.0,6626.0,2100.0,248.25,2741.0,2989.25,0.09584942084942084,0.2926230383260382,1.154150579150579,1850378496.0,0.0,0.0,0.0,0.0,528000000
6500000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740111673714,0.09995255105908163,0.07976078962535377,384.4056008296428,2680.0,2651.0,9723.0,6939.0,2131.0,249.25,2784.0,3033.25,0.09300373134328359,0.2863313792039494,1.1318097014925372,2004580232.0,0.0,0.0,0.0,0.0,572000000
7000000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740006750097,0.09996335689752482,0.07977148837855867,384.3335518611038,2790.0,2761.0,9830.0,7447.0,1883.0,332.5,2383.0,2715.5,0.11917562724014337,0.24242115971515768,0.9732974910394265,2158776816.0,0.0,0.0,0.0,0.0,616000000
7500000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740030567025,0.09996381234998532,0.07977461023980208,384.37226576487234,3050.0,3011.0,11122.0,8049.0,2519.0,269.5,3073.0,3342.5,0.08836065573770492,0.2762992267577774,1.0959016393442622,2312973368.0,0.0,0.0,0.0,0.0,660000000
8000000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740089534026,0.09996193003631812,0.07976862279953352,384.44499364589467,3190.0,3161.0,11881.0,8468.0,2663.0,219.75,3413.0,3632.75,0.0688871473354232,0.28726538170187693,1.138793103448276,2467169768.0,0.0,0.0,0.0,0.0,704000000
8500000,10,local,0,8g,0,0,0,12,12,local[4],0.999973998696569,0.09996693076193443,0.07976973831961039,384.33178672733317,3190.0,3158.0,11718.0,8665.0,2448.0,260.5,3053.0,3313.5,0.0816614420062696,0.26053934118450245,1.0387147335423197,2621366632.0,0.0,0.0,0.0,0.0,748000000
9000000,10,local,0,8g,0,0,0,12,12,local[4],0.9999739919975306,0.0999763135812961,0.07977708625222094,384.3049204652104,3950.0,3925.0,14633.0,10906.0,2896.0,291.75,3727.0,4018.75,0.07386075949367088,0.2546982846989681,1.0174050632911393,2775563400.0,0.0,0.0,0.0,0.0,792000000
9500000,10,local,0,8g,0,0,0,12,12,local[4],0.9999739871591641,0.09997613664133502,0.07977564046975612,384.2320781693181,3810.0,3780.0,14241.0,10595.0,2888.0,249.75,3646.0,3895.75,0.0655511811023622,0.2560213468155326,1.02250656167979,2929767336.0,0.0,0.0,0.0,0.0,836000000
10000000,10,local,0,8g,0,0,0,12,12,local[4],0.9999739892919617,0.09997688914081768,0.07977582845773895,384.2693693958164,3980.0,3944.0,14824.0,10840.0,3332.0,274.0,3984.0,4258.0,0.06884422110552764,0.26875337290879653,1.0698492462311557,3083963904.0,0.0,0.0,0.0,0.0,880000000
10500000,10,local,0,8g,0,0,0,12,12,local[4],0.9999739944424747,0.0999852166833174,0.07978240912176189,384.4095081127452,3990.0,3965.0,14593.0,10944.0,2816.0,341.75,3649.0,3990.75,0.0856516290726817,0.2500513945042144,1.000187969924812,3238160616.0,0.0,0.0,0.0,0.0,924000000
11000000,10,local,0,8g,0,0,0,12,12,local[4],0.9999739963395723,0.099994351523395,0.07978616229205214,384.50780255196776,4180.0,4155.0,15721.0,11650.0,3544.0,249.75,4071.0,4320.75,0.0597488038277512,0.25895299281216205,1.0336722488038277,3392357632.0,0.0,0.0,0.0,0.0,968000000
11500000,10,local,0,8g,0,0,0,12,12,local[4],0.9999740036379735,0.09999374047988265,0.07978480084234131,384.6110541886511,4440.0,4405.0,16368.0,12327.0,3499.0,348.0,4041.0,4389.0,0.07837837837837838,0.2468841642228739,0.9885135135135135,3546554216.0,0.0,0.0,0.0,0.0,1012000000
