m_datapoints,n_features,mode,driver_cores,driver_memory,executor_instances,executor_cores,executor_memory,default_parallelism,shuffle_partitions,master,r2,rmse,mae,explainedVariance,t_fit_ms,elapsed_ms,executorRun_ms,cpu_ms,gc_ms,wall_overhead_ms,nonCPU_overhead_ms,parallel_overhead_ms,wall_overhead_pct,nonCPU_overhead_pct,parallel_overhead_pct,bytes_read,bytes_written,shuffle_read,shuffle_write,spilled,theoretical_size_bytes
50000,8,local,0,8g,0,0,0,12,12,local[4],0.9999519204047049,0.0993288784707012,0.07923693837678314,205.19623082395748,320.0,278.0,276.0,142.0,0.0,44.0,134.0,178.0,0.1375,0.4855072463768116,0.55625,13758280.0,0.0,0.0,0.0,0.0,3600000
50000,16,local,0,8g,0,0,0,12,12,local[4],0.999993282907962,0.09956878352622253,0.07951147129565304,1475.917853128588,280.0,240.0,217.0,129.0,0.0,63.0,88.0,151.0,0.225,0.4055299539170507,0.5392857142857143,20424904.0,0.0,0.0,0.0,0.0,6800000
50000,32,local,0,8g,0,0,0,12,12,local[4],0.9999991321985265,0.09896144118652797,0.07892075648464571,11285.252032951523,240.0,210.0,215.0,133.0,0.0,25.0,82.0,107.0,0.10416666666666667,0.3813953488372093,0.44583333333333336,33758152.0,0.0,0.0,0.0,0.0,13200000
50000,64,local,0,8g,0,0,0,12,12,local[4],0.9999998864221343,0.09998904491565379,0.0797003614172409,88026.02437178169,270.0,232.0,261.0,164.0,0.0,9.0,97.0,106.0,0.03333333333333333,0.3716475095785441,0.3925925925925926,60424648.0,0.0,0.0,0.0,0.0,26000000
50000,128,local,0,8g,0,0,0,12,12,local[4],0.9999999860987595,0.0999377434676269,0.07967420034207584,718464.8359834081,300.0,273.0,469.0,315.0,0.0,-169.0,154.0,-15.0,-0.5633333333333334,0.3283582089552239,-0.05,114598368.0,0.0,0.0,0.0,0.0,51600000
50000,256,local,0,8g,0,0,0,12,12,local[4],0.9999999982701591,0.0996075040569371,0.07956719029744054,5735588.103755963,510.0,473.0,1157.0,949.0,0.0,-647.0,208.0,-439.0,-1.268627450980392,0.1797752808988764,-0.8607843137254902,222938608.0,0.0,0.0,0.0,0.0,102800000
50000,512,local,0,8g,0,0,0,12,12,local[4],0.9999999997641525,0.09919895273748855,0.079299799892867,41723706.700024985,1130.0,1095.0,3204.0,3054.0,0.0,-2074.0,150.0,-1924.0,-1.8353982300884957,0.04681647940074907,-1.702654867256637,439618888.0,0.0,0.0,0.0,0.0,205200000
50000,768,local,0,8g,0,0,0,12,12,local[4],0.9999999999311421,0.09983295647991848,0.0796001471863764,144741744.0181361,2400.0,2354.0,7937.0,7488.0,28.0,-5537.0,449.0,-5088.0,-2.3070833333333334,0.05657049262945697,-2.12,656299168.0,0.0,0.0,0.0,0.0,307600000
50000,1024,local,0,8g,0,0,0,12,12,local[4],0.999999999972625,0.09902829123859498,0.07891139237182013,358231688.12678593,4320.0,4279.0,14717.0,14330.0,40.0,-10397.0,387.0,-10010.0,-2.406712962962963,0.026296120133179317,-2.3171296296296298,872978648.0,0.0,0.0,0.0,0.0,410000000
50000,1536,local,0,8g,0,0,0,12,12,local[4],0.9999999999919823,0.09850007999607166,0.07867353306767982,1210100041.3361077,20850.0,20812.0,77905.0,76171.0,96.0,-57055.0,1734.0,-55321.0,-2.7364508393285374,0.022257878184968872,-2.653285371702638,1306338808.0,0.0,0.0,0.0,0.0,614800000
50000,2048,local,0,8g,0,0,0,12,12,local[4],0.9999999999965703,0.09793266751021217,0.07801312223693356,2796425743.1572967,46070.0,46035.0,173141.0,170166.0,68.0,-127071.0,2975.0,-124096.0,-2.7582157586281744,0.017182527535361352,-2.693640112871717,1739700568.0,0.0,0.0,0.0,0.0,819600000
