m_datapoints,n_features,mode,driver_cores,driver_memory,executor_instances,executor_cores,executor_memory,default_parallelism,shuffle_partitions,master,r2,rmse,mae,explainedVariance,t_fit_ms,elapsed_ms,executorRun_ms,cpu_ms,gc_ms,wall_overhead_ms,nonCPU_overhead_ms,parallel_overhead_ms,wall_overhead_pct,nonCPU_overhead_pct,parallel_overhead_pct,bytes_read,bytes_written,shuffle_read,shuffle_write,spilled,theoretical_size_bytes
500000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999741860063708,0.09986761347432373,0.0796233696259256,386.35179458856084,990.0,920.0,1573.0,786.0,115.0,596.75,787.0,1383.75,0.6027777777777777,0.5003178639542276,1.3977272727272727,154204936.0,0.0,0.0,0.0,0.0,44000000
1000000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740862794602,0.0998959473157178,0.0796721089085918,385.0833258984556,950.0,906.0,1655.0,1019.0,85.0,536.25,636.0,1172.25,0.5644736842105263,0.38429003021148034,1.2339473684210527,308401504.0,0.0,0.0,0.0,0.0,88000000
1500000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999741000184527,0.09994004946342698,0.07972628121265996,385.6278730976094,920.0,876.0,1908.0,1316.0,77.0,443.0,592.0,1035.0,0.4815217391304348,0.31027253668763105,1.125,462598216.0,0.0,0.0,0.0,0.0,132000000
2000000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740849152992,0.09993482844378869,0.07974053791555218,385.3628586673217,990.0,959.0,2447.0,2079.0,64.0,378.25,368.0,746.25,0.38207070707070706,0.15038823048630975,0.7537878787878788,616795232.0,0.0,0.0,0.0,0.0,176000000
2500000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740672136369,0.09990907084886216,0.0797229848900479,384.9013153340992,1200.0,1153.0,2971.0,2156.0,130.0,457.25,815.0,1272.25,0.38104166666666667,0.27431841130932344,1.0602083333333334,770991816.0,0.0,0.0,0.0,0.0,220000000
3000000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.999974068009308,0.09992310625261158,0.0797447560984995,385.0212797199885,1340.0,1306.0,3874.0,2884.0,167.0,371.5,990.0,1361.5,0.27723880597014927,0.2555498193082086,1.016044776119403,925190608.0,0.0,0.0,0.0,0.0,264000000
3500000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740448504805,0.09994895196852698,0.07976369589977382,384.8767546313399,1450.0,1496.0,4085.0,3217.0,167.0,428.75,868.0,1296.75,0.2956896551724138,0.21248470012239903,0.8943103448275862,1079392168.0,0.0,0.0,0.0,0.0,308000000
4000000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740541515101,0.09993774630849962,0.07975224075662057,384.92840215045766,1630.0,1602.0,4963.0,3835.0,168.0,389.25,1128.0,1517.25,0.2388036809815951,0.22728188595607496,0.9308282208588957,1233589032.0,0.0,0.0,0.0,0.0,352000000
4500000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740538810861,0.09994682091482532,0.07975382132648179,384.99429756036284,1530.0,1499.0,4767.0,3861.0,162.0,338.25,906.0,1244.25,0.221078431372549,0.19005663939584644,0.8132352941176471,1387785800.0,0.0,0.0,0.0,0.0,396000000
5000000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740432793528,0.09994714633168413,0.07975747233034237,384.8395528348974,1760.0,1732.0,5385.0,4279.0,232.0,413.75,1106.0,1519.75,0.23508522727272727,0.2053853296193129,0.8634943181818182,1541982336.0,0.0,0.0,0.0,0.0,440000000
5500000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740373873297,0.09994297922428498,0.07975433782808768,384.72013171132375,1880.0,1858.0,6234.0,4594.0,397.0,321.5,1640.0,1961.5,0.17101063829787233,0.2630734680782804,1.0433510638297872,1696178904.0,0.0,0.0,0.0,0.0,484000000
6000000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740306247719,0.09994792619383762,0.0797561622422507,384.658022741254,1800.0,1862.0,5984.0,4920.0,333.0,304.0,1064.0,1368.0,0.1688888888888889,0.17780748663101603,0.76,1850378496.0,0.0,0.0,0.0,0.0,528000000
6500000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740111673714,0.09995255105908163,0.07976078962535373,384.4056008296428,1820.0,1796.0,6194.0,5167.0,334.0,271.5,1027.0,1298.5,0.14917582417582417,0.16580561834032936,0.7134615384615385,2004580232.0,0.0,0.0,0.0,0.0,572000000
7000000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740006750097,0.09996335689752482,0.07977148837855867,384.3335518611038,2220.0,2195.0,7257.0,6058.0,391.0,405.75,1199.0,1604.75,0.18277027027027026,0.16521978779109825,0.7228603603603604,2158776816.0,0.0,0.0,0.0,0.0,616000000
7500000,10,multi,2,4g,2,2,4g,12,12,spark://spark-master:7077,0.9999740030567025,0.0999638123499854,0.07977461023980216,384.3722657648722,2190.0,2153.0,7589.0,6349.0,400.0,292.75,1240.0,1532.75,0.133675799086758,0.16339438661220188,0.6998858447488584,2312973368.0,0.0,0.0,0.0,0.0,660000000
